degree,subdomain,l2_norm,n_computed_points,n_theoretical_points,success_rate,min_min_success_rate,runtime_seconds,converged
5,1010,0.10010448651425592,1,9,0.1111111111111111,1.0,1.9224069118499756,false
4,1010,0.4462999426986868,1,9,0.0,0.0,1.3597590923309326,false
6,1010,0.018275016451681093,1,9,0.1111111111111111,1.0,2.9559459686279297,false
2,1010,5.488784854130084,1,9,0.0,0.0,1.021834135055542,false
3,1010,1.7505742039993517,4,9,0.1111111111111111,1.0,1.1566998958587646,false
